year,univ_cd,inwon_intern,inwon_gun_ipdae,inwon_michuiup,inwon_gita,inwon_tot,inwon_daehakwon_gicho,inwon_gaewon,inwon_daehakwon_tabunya,inwon_hewoi_jinchul,inwon_misang
2021-04-29 16:48:54.702000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,,,
2021-10-25 21:21:20.408000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,
2021-10-26 17:25:44.346000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,,,,
2021-10-26 10:22:32.890000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,,,
2020,UNIV09,59,11,,4,74,,,,,
2021-09-02 15:31:28.183000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,
2021-09-09 11:09:11.193000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,,,
2021-09-15 13:46:44.163000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,,,
2021-09-23 15:28:47.639000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,
2021-11-04 16:54:10.259000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,,,,
2021-08-27 14:01:08.498000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,
2020,UNIV40,1,4,7,9,45,2,5,3,6,8
2020,UNIV13,91,16,,,120,,,,,13
2020,UNIV38,69,,,7,76,,,,,
2020,UNIV03,28,3,,,35,,4,,,
2021-09-23 09:12:44.306000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,,,
2021-09-24 16:32:45.586000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,
2021-09-25 23:49:16.832000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,,,
2021-09-29 17:05:23.241000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,,,
2021-09-27 23:17:54.182000,YYYY-MM-DD HH24:MI:SS.FF,,univ13,,,,,,,,
2021-10-05 13:24:59.891000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,,,
2021-09-14 10:31:32.274000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,
2021-10-08 19:36:01.125000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,,,
2021-10-12 11:01:42.054000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,
2021-10-26 11:01:00.227000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,,,
2021-08-31 16:15:08.324000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,,,
2021-09-15 17:21:37.130000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,
2021-09-24 17:24:50.988000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,
2021-09-24 19:06:09.987000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,,,
2021-10-27 15:25:30.296000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,,,,
