year,univ_cd,hakgwa_gb,gwamok_seq,gwamok_nm,pilsu_gb,gaeseol_grade,gaeseol_hakgi_gb,edu_time_gangeui,edu_time_silseup,edu_time_tot,hakjeom,tonghap_gwamok_yn,edu_cont1_gb,edu_cont2_gb,edu_cont3_gb,edu_cont4_gb,exam_jipil_yn,exam_quiz_yn,exam_gudu_yn,exam_gwaje_yn,exam_gita_yn,edu_time_pbl
2019,UNIV10,2,29,영양 및 내분비 통합교육,1,2,1,45,3,104,4,1,1,1,1,0,1,1,0,0,1,56
2019,UNIV10,2,30,신장 및 요로 통합교육,1,2,1,51,0,120,4,1,1,1,1,0,1,0,0,0,1,69
2019,UNIV10,2,31,학생미사,1,2,1,0,0,15,1,0,0,0,0,1,0,0,0,0,1,15
조기임상경험 ECEⅢ),1,2,2,4,36,7,47,1,0,0,0,1,0,0,0,0,1,,,,,0
2019,UNIV10,2,33,의료인문학 2-3: 보건정책과 경영,1,2,2,8,0,17,1,0,0,0,1,0,1,0,0,1,1,9
2019,UNIV10,2,34,생식 및 여성 통합교육,1,2,2,89,0,130,4,1,1,1,1,0,1,0,0,0,1,41
2019,UNIV10,2,35,학생미사,1,2,2,0,0,15,1,0,0,0,0,1,0,0,0,0,1,15
2019,UNIV10,2,36,노년 및 생애말기 의학,1,2,2,16,0,16,1,1,1,1,0,0,1,0,0,0,1,0
2019,UNIV10,2,37,근골격 통합교육,1,2,2,53,20,81,4,1,1,1,1,0,1,0,0,0,1,8
2019,UNIV10,2,38,성장과 발달,1,2,2,22,0,40,1,1,1,1,0,0,1,0,0,0,1,18
2019,UNIV10,2,39,응급/중환자 통합교육,1,2,2,41,0,74,2,1,1,1,1,0,1,1,0,0,1,33
임상실습 전 교육) II,1,2,2,63,68,0,131,4,0,0,0,1,1,0,0,0,1,,,,,0
2019,UNIV10,2,41,의료인문학 2-4:　의사소통의 기술 II,1,2,2,6,0,24,1,0,0,0,1,0,0,0,0,1,1,18
윤리 Part 2),1,2,2,12,0,8,20,1,0,0,1,0,1,0,0,0,1,,,,,0
2019,UNIV10,2,43,증례기반 임상추론과 EBM,1,3,1,0,0,70,2,0,0,0,0,1,0,0,0,0,1,70
2019,UNIV10,2,44,의학연구실습,1,3,1,0,0,36,1,0,0,0,0,1,0,0,0,0,1,36
2019,UNIV10,2,45,삶의 의미와 사회책무성 실현,1,3,1,0,0,36,1,0,0,0,0,1,0,0,0,0,1,36
2019,UNIV10,2,46,직업환경의학,1,3,1,16,0,16,1,0,0,1,0,0,1,0,0,0,1,0
2019,UNIV10,2,47,학생미사,1,3,1,0,0,15,1,0,0,0,0,1,0,0,0,0,1,15
2019,UNIV10,2,48,노년 및 생애말기 의학,1,3,2,16,0,16,1,1,1,1,0,0,1,0,0,0,1,0
2019,UNIV10,2,49,"의료인문학 3-1: 
보완대체의학",1,3,2,8,0,16,1,0,0,0,1,0,1,0,0,1,1,8
2019,UNIV10,2,50,학생미사,1,3,2,0,0,15,1,0,0,0,0,1,0,0,0,0,1,15
2019,UNIV10,2,51,"의료인문학 3-2:
의료전문성과 진로설계",1,3,2,17,0,19,1,0,0,0,1,0,1,0,0,0,1,2
화요일 14~18시),1,4,1,16,0,0,16,1,0,0,1,0,1,0,0,0,1,,,,,0
화요일 14시~18시),1,4,1,16,0,0,16,1,0,0,1,0,1,0,0,0,1,,,,,0
2020-08-14 19:13:39.318000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.110000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.112000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.113000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.115000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.116000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.117000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.119000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.120000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.121000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.122000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.124000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.125000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.126000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.128000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.129000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.130000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.132000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.133000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.134000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.136000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.137000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.139000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.140000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.141000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.143000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.144000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.145000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.146000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.148000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.149000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.150000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.151000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.153000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.154000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.155000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.157000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.158000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.159000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.161000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.162000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.166000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.169000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.170000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.171000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.173000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.174000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.175000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.176000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-30 19:15:53.178000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.152000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.157000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.162000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.168000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.174000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.180000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.185000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.191000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.196000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.201000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.207000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.212000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.217000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.222000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
