year,univ_cd,deungrok_gb,namyeo_gb,inwon_euiye_11,inwon_euiye_12,inwon_euiye_21,inwon_euiye_22,inwon_euihak_11,inwon_euihak_12,inwon_euihak_21,inwon_euihak_22,inwon_euihak_31,inwon_euihak_32,inwon_euihak_41,inwon_euihak_42,inwon_tot,inwon_woiguk
2020-12-17 09:40:13.940000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,,,,,,,,,
2020-12-17 09:40:13.943000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,,,,,,,,,
2020-12-17 09:40:13.945000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,,,,,,,,,
2020-12-17 09:40:13.953000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,,,,,,,,,
2020-12-17 09:40:13.953000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,,,,,,,,,
2020-12-31 12:28:00.893000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,,,,,,,,,,
2020-12-31 12:28:00.893000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,,,,,,,,,,
2020-01-29 15:45:19.334000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,,,,,,,,,
2020-01-29 15:44:06.690000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,,,,,,,,,
2020-01-29 15:42:58.753000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,,,,,,,,,
2020-01-29 15:42:29.265000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,,,,,,,,,
2020-01-29 15:33:25.975000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,,,,,,,,,
2020-01-29 15:33:25.975000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,,,,,,,,,
2020-01-29 15:52:20.973000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,,,,,,,,,
2019-08-27 17:15:18.251000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,
2019-08-27 17:15:18.255000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,
2019-08-27 17:15:18.258000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,
