year,univ_cd,gyosil_seq,gyosil_gb,inwon_jeonim_tot_gyosu,inwon_jeonim_tot_bugyosu,inwon_jeonim_tot_jogyosu,inwon_jeonim_male_tot,inwon_jeonim_female_tot,inwon_jeonim_tot_tot,inwon_bongyo,inwon_bijeonim_tot,inwon_jeonim_female_jogyosu,inwon_jeonim_female_bugyosu,inwon_jeonim_male_jogyosu,inwon_bi_euihakgwa,inwon_jeonim_male_gyosu,inwon_jeonim_female_gyosu,inwon_jeonim_male_bugyosu,inwon_bijeonim_imsang,inwon_bijeonim_yeongu,inwon_bijeonim_gita
2020,UNIV08,24,24,6,1,1,6,2,8,8,0,1,1,,,6,,,,,
2020,UNIV08,8,8,1,0,0,1,0,1,1,0,,,,0,1,,,,,
2020,UNIV08,40,40,1,0,0,1,0,1,1,0,,,,,1,,,,,
2020,UNIV08,2,2,6,0,1,6,1,7,4,0,1,,,3,6,,,,,
2020,UNIV08,31,31,26,5,5,20,16,36,31,0,4,1,1,,15,11,4,,,
2020,UNIV08,37,37,1,1,0,1,1,2,0,0,,,,,,1,1,,,
2020,UNIV08,36,36,7,1,0,6,2,8,8,0,,,,,5,2,1,,,
2020,UNIV08,3,3,5,1,1,4,3,7,4,0,1,,,2,3,2,1,,,
2020,UNIV08,41,41,1,0,0,1,0,1,0,0,,,,,1,,,,,
2020,UNIV08,35,35,5,2,1,5,3,8,7,0,,1,1,,3,2,1,,,
2020,UNIV08,26,26,7,3,0,10,0,10,9,0,,,,,7,,3,,,
2020,UNIV08,18,18,75,22,6,74,29,103,97,0,5,11,1,,62,13,11,,,
2020,UNIV08,39,39,6,3,0,7,2,9,7,0,,1,,,5,1,2,,,
2020,UNIV08,1,1,6,0,1,6,1,7,6,0,,,1,1,5,1,,,,
2020,UNIV08,21,21,13,3,2,9,9,18,14,0,2,1,,,7,6,2,,,
2020,UNIV08,19,19,20,9,2,27,4,31,27,0,2,2,,,20,,7,,,
2020,UNIV08,29,29,14,2,0,16,0,16,15,0,,,,,14,,2,,,
2020,UNIV08,17,17,60,8,7,64,11,75,37,0,2,2,5,32,53,7,6,0,0,0
2021-09-13 11:20:45.997000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2021-09-13 11:20:45.981000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2021-09-13 11:20:45.997000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2021-09-13 11:20:45.997000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2021-09-13 11:20:46.012000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2021-09-13 11:20:46.012000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2021-09-16 10:20:51.723000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2021-09-13 11:20:46.028000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2021-09-13 11:20:46.028000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2021-09-13 11:20:46.028000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2021-09-13 11:20:46.091000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
