year,univ_cd,gyosil_seq,gyosil_gb,inwon_jeonim_tot_gyosu,inwon_jeonim_tot_bugyosu,inwon_jeonim_tot_jogyosu,inwon_jeonim_male_tot,inwon_jeonim_female_tot,inwon_jeonim_tot_tot,inwon_bongyo,inwon_bijeonim_tot,inwon_jeonim_female_jogyosu,inwon_jeonim_female_bugyosu,inwon_jeonim_male_jogyosu,inwon_bi_euihakgwa,inwon_jeonim_male_gyosu,inwon_jeonim_female_gyosu,inwon_jeonim_male_bugyosu,inwon_bijeonim_imsang,inwon_bijeonim_yeongu,inwon_bijeonim_gita
2021-09-29 10:55:15.356000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,,,,,,,,,,,,,
2021-09-29 10:56:10.190000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,,,,,,,,,,,,,
2020,UNIV38,6,6,2,0,1,1,2,3,,,,,1,,,2,,,,
2021-09-29 10:58:02.911000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,,,,,,,,,,,,,
2020,UNIV38,8,8,1,0,0,1,0,1,,,,,,,1,,,,,
2020,UNIV38,143,43,105,41,23,71,98,169,0,0,16,21,7,0,44,61,20,0,0,0
2021-09-29 11:28:11.400000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.320000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.320000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.320000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:32:00.227000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.336000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.336000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.336000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.336000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.336000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.336000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.336000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:32:43.080000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.351000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.351000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.351000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.351000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.351000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.351000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.351000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.367000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.367000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.367000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.367000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2021-09-29 11:31:10.367000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,,,,,
2019,UNIV23,143,43,91,28,23,101,41,142,40,20,8,13,15,0,71,20,15,20,0,0
2021-09-29 15:01:57.902000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,,,,,,,,,,,,,
2021-09-29 15:01:57.917000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,,,,,,,,,,,,,
2021-09-29 15:01:57.917000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,,,,,,,,,,,,,
2021-09-29 15:01:57.917000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,,,,,,,,,,,,,
2021-09-29 15:01:57.933000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,,,,,,,,,,,,,
2021-09-29 15:01:57.933000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,,,,,,,,,,,,,
2021-09-29 15:01:57.933000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,,,,,,,,,,,,,
2021-09-29 15:01:57.933000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,,,,,,,,,,,,,
2019,UNIV20,117,17,26,3,2,22,9,31,0,4,1,1,1,9,19,7,2,0,4,0
2019,UNIV20,145,45,26,3,2,22,9,31,0,4,1,1,1,9,19,7,2,0,4,0
2021-09-30 11:36:36.128000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,,,,,,,,,,,,,
2021-09-29 15:01:57.902000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,,,,,,,,,,,,,
2021-09-30 11:17:07.100000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,,,,,,,,,,,,,
2020,UNIV19,16,16,2,0,0,2,0,2,,0,,,,2,2,,,,,
2021-09-30 11:36:36.131000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,,,,,,,,,,,,,
2021-09-30 11:17:07.103000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,,,,,,,,,,,,,
2021-09-30 11:15:18.295000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,,,,,,,,,,,,,
2021-09-30 11:36:36.134000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,,,,,,,,,,,,,
2019-08-29 19:56:25.277000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,,,,,,,,,,,
2019-08-29 19:56:25.700000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,,,,,,,,,,,
2019-08-29 19:56:26.545000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,,,,,,,,,,,
2020-09-23 08:38:58.188000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,,,,,,,,,,,,,
2020-09-23 08:38:58.188000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,,,,,,,,,,,,,
2020-09-23 08:38:58.203000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,,,,,,,,,,,,,
2020-01-15 08:44:55.877000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:58:47.953000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:55:12.557000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:55:12.563000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:55:12.575000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:58:47.944000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:44:55.883000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:58:47.947000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:44:55.886000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:55:12.551000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:58:47.968000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:44:55.905000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:44:55.898000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:55:12.544000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:44:55.892000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:44:55.895000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:58:47.940000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:58:47.959000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:55:12.560000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:55:12.569000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:58:47.956000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:55:12.566000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-08 14:47:46.948000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:58:47.962000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:44:55.889000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-01-15 08:55:12.572000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.922000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.938000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.938000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.938000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.938000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.938000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.938000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.938000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.938000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.954000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.954000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.954000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.954000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.954000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.954000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.954000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.954000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.969000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.969000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.969000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.969000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.969000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:19:27.969000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-09-17 16:14:53.401000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,
2020-09-17 16:14:53.401000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,
2020-09-17 16:17:45.606000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,
2020-09-23 16:31:36.118000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,,,,,,,,,,,,,,
2020-10-15 14:03:07.309000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,,,,,,,,,,,,,
2019-09-25 09:26:18.302000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,,,,,,,,,,,,,,,,
2019-09-25 09:26:12.160000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,,,,,,,,,,,,,,,,
2019-09-25 09:26:29.568000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:26.467000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2018,UNIV36,17,17,25,5,15,31,14,45,24,0,8,2,7,25,21,4,3,0,0,0
2018,UNIV36,45,45,100,30,39,139,30,169,130,0,12,7,27,25,89,11,23,0,0,0
2019-10-07 15:03:26.231000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:26.454000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:26.461000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:26.501000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:26.538000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:26.430000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:26.530000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:26.551000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:26.569000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.337000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2018,UNIV36,43,43,75,25,24,108,16,124,106,0,4,5,20,0,68,7,20,0,0,0
2019-10-07 15:03:27.465000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.457000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.451000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.398000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.373000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.422000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:26.649000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.244000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.360000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.476000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.410000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.286000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.324000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.304000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.158000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.443000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.189000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.072000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.251000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.470000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.173000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2019-10-07 15:03:27.436000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,,,,,,,,,,,,,
2020-02-03 11:06:12.346000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:06:12.362000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:06:12.362000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:06:12.362000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:06:12.362000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:06:12.362000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:06:12.362000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:06:12.362000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:06:12.362000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:06:12.377000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2020-02-03 11:06:12.377000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.192000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.213000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.225000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.242000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.260000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.277000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.282000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2019,UNIV28,20,43,72,12,6,75,15,90,17,0,2,5,4,0,64,8,7,0,0,0
2021-08-18 14:07:09.658000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.397000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.419000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.430000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.452000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.475000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.480000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.507000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.532000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.565000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.583000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.612000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.651000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.670000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.692000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.697000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.709000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.731000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.754000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.766000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.779000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:09.796000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-18 14:07:54.258000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,,,,,,,,
2021-08-26 17:24:18.074000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2021-08-26 17:24:58.813000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2021-08-26 17:20:53.589000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2021-08-26 17:24:18.089000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2021-08-26 17:24:18.093000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2021-08-26 17:24:18.091000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2021-08-26 17:31:27.258000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,,,,,,,,,,,
2021-08-27 14:49:01.009000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,,,,,,,,
2021-08-27 14:49:01.013000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,,,,,,,,
2021-08-27 14:49:01.015000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,,,,,,,,
2021-08-27 14:49:01.017000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,,,,,,,,
2021-08-27 14:49:01.020000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,,,,,,,,
2021-08-27 14:49:01.022000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,,,,,,,,
2021-08-27 14:49:01.024000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,,,,,,,,
2021-08-27 14:49:01.026000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,,,,,,,,
2021-08-27 14:49:01.028000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,,,,,,,,
2021-08-27 14:49:01.030000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,,,,,,,,
2021-08-27 14:49:01.032000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,,,,,,,,
2021-08-27 14:49:01.034000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,,,,,,,,
2021-08-27 14:49:01.036000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,,,,,,,,
2020,UNIV38,145,45,138,50,25,87,126,213,0,0,17,28,8,0,57,81,22,0,0,0
2021-09-29 10:56:02.813000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,,,,,
2021-09-29 10:56:02.813000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,,,,,
2021-09-29 10:56:02.813000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,,,,,
2021-09-29 10:56:02.829000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,,,,,
2021-09-29 10:56:02.829000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,,,,,
2021-09-29 10:56:02.845000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,,,,,
2020,UNIV12,117,17,17,3,8,14,14,28,7,3,5,2,3,9,10,7,1,0,2,1
2020,UNIV12,143,43,76,39,34,127,22,149,70,0,8,7,26,0,69,7,32,0,0,0
2020,UNIV12,145,45,93,42,42,141,36,177,77,3,13,9,29,9,79,14,33,0,2,1
2021-09-29 10:56:02.845000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,,,,,
2021-09-29 10:56:02.845000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,,,,,
2021-09-29 10:56:02.845000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,,,,,
