year,univ_cd,janghak_gb,suhye_inwon_tot_euihak,suhye_amt_tot_euihak,suhye_inwon_tot_euiye,suhye_amt_tot_euiye,euiye_bigo,euihak_bigo
2019-09-23 14:48:38.598000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,
2019-09-26 14:25:47.920000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,
2019-09-26 14:26:07.373000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,
2019-08-20 10:22:45.715000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,
2019-08-20 10:22:45.731000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,
2019-08-20 10:22:45.731000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,
2019-08-28 10:28:45.405000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,
2019-08-28 10:28:45.408000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,
2019-08-28 10:28:45.410000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,
2020-01-08 17:11:23.652000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,
2020-01-08 17:11:23.652000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,
2020-01-08 17:11:23.652000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,
2019-09-27 16:49:14.665000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,
2019-09-27 16:54:14.095000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,
2019-09-16 17:41:39.284000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,
2020-02-12 10:26:58.421000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,
2019-11-12 11:01:50.348000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,
2019-11-12 11:03:00.156000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,
2019-11-12 11:01:50.353000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,
2020-01-14 14:51:46.787000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,
2020-01-14 15:01:11.521000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,
2020-01-14 14:51:46.792000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,
2019-08-27 17:18:47.545000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,
2019-08-27 17:18:47.548000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,
2019-08-28 09:50:26.897000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,
2020-01-13 08:45:13.743000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,
2020-01-13 08:45:13.745000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,
2020-01-13 08:45:13.747000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,
2020-01-14 17:26:24.162000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,
2020-01-14 17:34:26.901000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,
2020-01-14 17:33:18.166000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,
2019-08-06 07:27:20.320000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,
2019-08-06 07:40:09.994000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,
2019-08-06 07:40:10.010000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,
2020-01-08 10:36:06.563000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,
2020-01-08 10:36:06.563000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,
2019-07-26 09:37:39.015000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,
2019-07-26 09:37:57.425000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,
2019-07-26 09:38:30.069000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,
2019-08-09 11:15:33.015000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,
2019-08-13 10:41:51.261000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,
2019-08-13 10:25:50.052000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,
2019-07-18 11:27:03.754000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,
2019-07-17 14:16:47.273000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,
2019-07-17 14:16:47.273000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,
2020-09-22 09:46:53.651000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2021-04-28 14:10:39.560000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,
2021-04-28 14:10:39.564000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,
2021-04-28 14:10:39.562000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,
2020-10-28 16:20:04.485000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,
2020-10-28 16:20:04.486000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,
2020-10-28 16:20:04.487000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,
2020-11-10 15:57:23.941000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,
2021-08-11 15:32:24.944000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:32:24.946000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:32:24.948000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2020-09-04 14:56:56.037000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,
2020-09-04 14:56:56.052000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,
2020-09-04 14:56:56.052000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,
2021-08-11 15:30:12.712000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2020-09-29 11:55:03.451000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,
