year,univ_cd,buseo_seq,buseo_nm,inwon_gyosu_jeonim,inwon_hengjeong,inwon_tot,inwon_gyosu_gyeomim,inwon_gita,inwon_gyosu_yeongu
2019-10-02 11:35:43.656000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,,
2019-10-31 10:46:24.453000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,
2020-01-10 10:06:24.806000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,
2020-01-10 10:06:24.810000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,
2019-07-16 11:08:55.660000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,,
2019-08-20 10:29:59.120000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,
2019-07-15 09:59:52.757000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,
2019-08-12 10:52:28.906000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,
2019-08-05 10:08:35.417000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,
2019-08-07 22:55:16.063000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,
2019-08-05 14:43:03.685000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,
2019-08-05 16:59:32.606000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,
2019-08-07 22:55:56.362000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,
2019-07-23 09:14:01.211000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,
2020-12-01 09:59:55.259000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,
2019,UNIV41,2,의학교육학교실,1,1,2,,,
2020-09-21 11:06:08.617000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,
2019,UNIV17,2,의학교육실,,,1,,1,
2020-08-11 11:14:26.175000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,
2020-09-03 17:30:23.745000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,
2020-09-24 11:10:38.088000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,
2020-11-04 16:46:06.161000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,
2019,UNIV36,1,의학교육학교실,2,,2,,,
2020-11-04 16:46:16.691000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,
2020-08-14 20:31:04.047000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,
2019,UNIV05,1,의학교육학교실,1,1,8,6,,
2019,UNIV06,1,의학교육실,,2,2,,,
2019,UNIV06,2,의학교육학교실,1,,1,,,
2019,UNIV06,3,,,,0,,,
2019,UNIV32,1,의학교육학교실,2,3,14,9,,
2019,UNIV05,2,의학교육센터,,6,10,4,0,
2020-10-05 16:50:05.989000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,
2019,UNIV22,1,의학교육학교실,1,2,4,,,1
2020-12-31 09:48:42.794000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,
2019,UNIV15,1,의학교육학교실,4,,5,,,1
2020-08-22 18:14:07.758000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,,
2020-09-23 11:49:34.772000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,
2020-09-03 11:06:32.638000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,
2020-09-21 15:37:09.583000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,
2020-09-21 15:39:48.640000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,
2019,UNIV26,1,의학교육학교실,1,2,10,7,,
2020,UNIV34,1,의학교육학교실,1,1,2,,,
2020,UNIV34,2,교육지원센터,,1,3,,,2
2020,UNIV14,1,의학교육학교실,2,1,5,,2,
2020,UNIV14,2,의학교육실,3,7,13,3,,
2021-10-07 14:15:58.237000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,
2020,UNIV41,1,의학교육혁신센터,1,3,22,18,,
2021-09-23 09:18:39.329000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,
2021-09-02 15:00:38.925000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,
2020,UNIV41,2,의학교육학교실,1,1,2,,,
2020,UNIV03,1,의학교육학교실,1,,2,1,,
2021-09-29 14:56:14.254000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,
2021-09-24 13:24:48.578000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,
2021-09-24 13:25:14.821000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,
2021-09-29 13:07:48.724000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,
2021-10-21 16:51:27.575000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,,
2021-04-23 10:50:30.771000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,
2021-04-30 15:14:31.797000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,
2021-05-04 09:37:02.312000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2021-05-04 09:37:02.314000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2021-04-28 16:15:15.494000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,
2021-04-28 16:15:15.498000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,
2021-08-27 13:56:53.143000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,
2019,UNIV03,1,의학교육학교실,1,,2,1,,
2021-04-22 14:42:04.891000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,
2021-05-25 15:16:04.258000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,
2021-05-25 15:17:17.101000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,
2021-05-07 15:43:42.891000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,,,
2021-06-21 11:10:26.841000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,,,
2021-06-21 11:10:26.845000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,,,
2019,UNIV08,1,의학교육센터,,5,6,,,1
2019,UNIV08,2,의학교육학교실,1,1,3,,1,
2021-11-03 11:07:42.550000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,
2021-10-26 13:46:19.022000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,
2021-09-23 11:43:18.364000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2020,UNIV06,1,의학교육실,,2,2,,,
2021-11-01 09:33:52.758000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,,
2020,UNIV06,3,,,,0,,,
2021-09-23 11:43:18.367000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2021-08-27 13:56:53.145000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,
2020,UNIV40,1,2019부서,1,4,15,2,5,3
2020,UNIV40,2,2019부서2,6,9,40,7,10,8
2020,UNIV09,1,의학교육학교실,2,1,6,3,,
2020,UNIV08,1,의학교육센터,,5,6,,,1
2020,UNIV08,2,의학교육학교실,1,1,3,,1,
2021-09-09 09:58:06.971000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,
2021-09-10 10:32:16.755000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,
2021-09-17 14:10:15.431000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,
2020,UNIV13,1,의학교육지원실,,7,7,,,
2020,UNIV13,2,의학교육학교실,2,,4,2,,
2021-09-28 15:33:40.112000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,
2020,UNIV12,1,의학교육학교실,1,1,3,,,1
2020,UNIV12,2,의학교육실,1,1,2,,,
2020,UNIV39,1,의학교육학교실,2,1,3,,,
2021-08-27 11:18:36.415000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,
2021-08-27 11:18:36.418000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,
2021-09-27 15:41:22.382000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,
2021-09-27 15:40:58.261000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,
2021-09-27 15:41:22.382000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,
2021-09-28 14:44:32.521000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,
2021-09-03 17:08:35.061000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2021-09-03 17:08:35.061000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2021-09-03 17:11:45.540000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2021-09-03 17:11:45.540000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2021-09-13 16:09:46.124000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,
2021-09-28 15:33:40.115000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,
2021-09-17 11:35:22.376000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,
2021-09-17 11:34:55.741000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,
2021-09-28 14:44:19.555000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,
2021-10-19 16:17:57.406000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,,
2021-10-22 13:56:24.268000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,
2021-10-21 16:51:20.148000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,,
2021-10-22 13:56:24.265000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,
