year,univ_cd,jangbi_gb,jangbi_seq,jangbi_yn,jangbi_cnt
2020-02-12 15:03:03.708000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.708000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.708000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.708000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.723000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.723000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.723000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2019-08-22 10:01:11.421000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:01:11.421000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:01:11.421000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.808000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.839000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.839000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-30 11:33:05.100000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.103000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:34:43.929000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.108000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.110000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.112000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.114000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.117000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.119000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.121000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.123000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.126000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.130000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.132000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 14:51:46.616000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-09-09 11:12:09.487000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.519000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.519000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.519000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.519000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.519000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.519000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.534000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.534000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.534000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.534000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.534000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.534000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-10 14:28:34.113000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-10 14:28:34.128000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-10 14:28:34.128000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-10 14:28:34.128000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-10 14:28:34.128000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-10 14:28:34.128000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-10 14:28:34.144000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-10 14:28:34.144000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-10 14:28:34.144000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-10 14:28:34.144000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-10 14:28:34.144000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-10 14:28:34.144000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-10 14:28:34.144000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-23 16:50:37.090000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-23 16:50:37.095000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-25 16:53:34.967000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-09-25 16:53:34.970000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-09-25 16:53:34.972000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-09-25 16:53:34.975000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-09-25 16:53:34.977000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-10-23 11:09:10.778000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-09-25 16:53:34.983000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-09-25 16:53:34.985000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-09-25 16:53:34.987000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-09-25 16:53:34.990000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-09-25 16:53:34.992000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-08-29 14:56:14.839000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2019-08-21 11:29:30.688000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-21 11:29:30.688000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-21 14:13:28.187000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-21 11:29:30.688000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-21 11:29:30.688000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-21 11:29:30.704000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-21 14:13:28.187000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-21 11:29:30.704000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-21 11:29:30.704000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-21 11:29:30.704000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-21 11:29:30.704000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-21 11:29:30.704000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-21 11:29:30.704000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-22 10:06:04.874000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:06:35.005000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-22 10:06:35.005000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-22 10:06:35.005000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-22 10:06:35.020000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-22 10:06:35.020000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-22 10:06:35.020000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-30 14:54:30.695000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-22 10:06:35.020000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-30 14:54:30.693000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-22 10:06:35.020000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-22 10:06:35.020000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-22 10:06:35.036000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-22 11:45:10.316000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-22 11:45:10.316000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-22 11:45:10.316000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-22 11:45:10.316000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-22 11:45:10.332000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-22 11:45:10.332000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-22 11:45:10.332000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-22 11:45:10.332000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-22 11:45:10.332000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-22 11:45:10.332000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-22 11:45:10.332000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-22 11:45:10.347000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-22 11:45:10.347000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-22 11:45:10.347000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-29 14:56:14.842000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2019-08-29 14:56:14.844000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2019-08-29 14:56:14.847000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2019-08-29 14:56:14.851000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2019-08-29 14:56:14.853000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2019-08-29 14:56:14.856000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2020-11-12 10:40:17.144000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2019-08-29 14:56:14.862000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2019-08-30 10:34:17.412000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2019-08-30 10:34:17.416000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2019-08-30 10:34:17.418000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2019-08-30 10:34:17.421000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2019-08-30 10:34:17.424000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2019-08-30 10:34:17.426000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2019-08-30 10:34:17.429000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2019-08-30 10:34:17.431000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2019-08-30 10:34:17.433000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2019-08-30 10:34:17.435000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2019-08-30 10:34:17.438000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2019-08-30 10:34:17.440000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2019-09-23 16:48:17.744000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-23 16:48:17.746000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-23 16:48:17.748000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
