year,prg_id,gakju
2019-10-29 10:09:43.162000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-02-28 16:44:23.477000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-05-27 10:31:09.261000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-10-29 10:12:07.936000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-01-20 11:42:07.323000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-10-29 10:12:53.065000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-08-05 15:47:30.381000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-10-29 10:16:40.276000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-10-29 10:28:02.909000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-08-07 16:28:59.385000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-10-29 10:35:35.207000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-08-05 15:49:46.640000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-01-23 13:55:24.459000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-08-05 16:11:59.092000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-08-05 15:40:44.162000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-10-29 10:17:39.016000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-07-13 15:16:27.708000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-08-17 19:05:28.408000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-26 10:48:11.119000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-26 16:57:04.551000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-26 16:59:52.639000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-09-07 18:27:04.618000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-09-01 20:33:14.316000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-07-05 22:48:08.207000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-08 19:55:32.809000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-08 21:17:14.359000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-08 21:58:01.185000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-08 23:29:44.238000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-05 22:48:08.207000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-08-13 15:04:47.248000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-13 15:27:50.982000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-17 19:20:01.275000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-30 11:33:30.445000,YYYY-MM-DD HH24:MI:SS.FF,univ00
